feature,mean_signed_diff,std_signed_diff,consistency_rate,paired_t_stat,paired_t_pvalue,abs_mean_diff
diversity_entropy_q2,-1.4829745307195252,1.1628595262280268,0.85,-8.06559541083117,7.739271016460547e-10,1.4829745307195252
diversity_entropy_q3,-1.2548316040534366,1.2584871315071533,0.825,-6.3061843850866275,1.9458919029861956e-07,1.2548316040534366
diversity_entropy_q1,-1.2491091132395646,1.249330604956889,0.825,-6.3234340505834545,1.8415888244488709e-07,1.2491091132395646
diversity_entropy_q4,-1.22296079860293,1.4758957628824338,0.775,-5.240670391424912,5.845307414780626e-06,1.22296079860293
num_unique_strategies,-1.100015565824604,1.5742939528044213,0.775,-4.419193306876375,7.670446938709433e-05,1.100015565824604
punctuation_index_top3,1.0885119438821165,1.3624706910962991,0.7,5.052845577463628,1.0599023269998331e-05,1.0885119438821165
overall_revert_rate,-0.994573904254669,1.4973569271220226,0.675,-4.200893964348264,0.0001494970437418119,0.994573904254669
thrashing_index,-0.98198330291502,1.3828473225507383,0.775,-4.491173842298978,6.143687486195134e-05,0.98198330291502
rewrite_ratio,-0.8176156514152835,1.1358910362267687,0.75,-4.552422066227829,5.0829514525644574e-05,0.8176156514152835
mode_choice_ratio,0.8176156514152833,1.1358910362267687,0.75,4.5524220662278285,5.0829514525644574e-05,0.8176156514152833
neg_opt_rate,0.5165680701866986,1.372269270472069,0.575,2.380774245197145,0.02225719759445352,0.5165680701866986
rewrite_after_plateau_rate,-0.49967733223911265,1.3265936692488458,0.65,-2.3822192155145534,0.02218139366125461,0.49967733223911265
neg_opt_count,0.45820409472161944,1.3294522995597582,0.6,2.179797760349389,0.035373321317044355,0.45820409472161944
error_recovery_rate,-0.34065996433263385,1.3797436263860219,0.475,-1.5615384979085252,0.12647578480641677,0.34065996433263385
plateau_escape_rate,-0.26805416969511037,1.5507307582067122,0.7,-1.0932416321219807,0.28099467788198734,0.26805416969511037
serendipity_index,0.2325065533093408,1.6714213596724146,0.475,0.8797904551333244,0.38436200454982616,0.2325065533093408
worst_regression_magnitude,-0.22455613798219592,0.704161557411691,0.675,-2.0168918655683394,0.050628612206800906,0.22455613798219592
num_plateaus,-0.18750467656782016,1.3135365199659015,0.625,-0.9028174563473994,0.3721653644295334,0.18750467656782016
code_success_rate,-0.15499116984787076,1.2508291942322214,0.375,-0.7836803237297817,0.4379614431712554,0.15499116984787076
early_exit_flag,0.09295590946538065,0.986625976960052,0.1,0.5958740247012767,0.5547021004128261,0.09295590946538065
avg_plateau_length,0.0832396126740765,1.5547857204347,0.625,0.3386019875802637,0.7367258565881416,0.0832396126740765
recovery_after_revert_rate,0.05490211164066048,1.5199118839670371,0.55,0.22845498211934007,0.8204862257531667,0.05490211164066048
diversity_entropy_trend,-0.005208851728428265,1.528286358018369,0.575,-0.021555954313818685,0.9829120805770469,0.005208851728428265
initial_generation_reverted_rate,0.0,0.0,0.5,,,0.0
