task,n_test,accuracy,macro_f1
cross_entropy,72,0.875,0.8749758826934207
eplb,72,0.6111111111111112,0.6034618410700237
fcs_algo_0,72,0.9027777777777778,0.9023066485753053
fcs_algo_145,72,0.7083333333333334,0.7082770596179818
fcs_algo_167,72,0.9444444444444444,0.9444444444444444
fcs_algo_188,72,0.7361111111111112,0.7348323318472572
fcs_algo_189,72,0.6805555555555556,0.6804939224387421
fcs_algo_24,72,0.7777777777777778,0.7762237762237763
fcs_algo_241,72,0.6388888888888888,0.6377708978328174
fcs_algo_45,72,0.9166666666666666,0.9166023166023166
fcs_algo_46,72,0.9583333333333334,0.9582608695652174
fcs_algo_58,72,0.7638888888888888,0.7638433339764614
gemm_optimization,72,0.7638888888888888,0.7634782608695652
grammar_fuzzing,72,0.8333333333333334,0.8328173374613003
grayscale,72,0.8055555555555556,0.8041958041958042
group_gemm,72,0.7916666666666666,0.7906571040899399
heilbronn_convex,72,0.8333333333333334,0.8332046332046332
hexagon_packing,72,0.7777777777777778,0.7776061776061776
llm_router,72,0.8472222222222222,0.847192745514181
llm_sql,72,0.8333333333333334,0.8328173374613003
signal_processing,72,0.875,0.873807205452775
trimul,72,0.8194444444444444,0.8191304347826087
txn_scheduling,72,0.8194444444444444,0.8194096083349411
vecadd,72,0.875,0.873807205452775
