rank,feature,mean_importance,frontier_minus_oss,in_six_class_top5,description
1,edit_type_bug_fix_frac,0.06598993641371924,-0.21400625978090776,False,fraction of edits classified as bug fixes
2,edit_type_algorithm_switch_frac,0.05417625045249372,-0.16934011476264998,True,fraction of edits that switch algorithm
3,worst_regression_magnitude,0.0535822613389696,0.1616784037558685,True,max single-step score regression
4,edit_type_no_change_frac,0.03825180367049872,-0.12363067292644764,True,fraction of edits classified as no-change
5,edit_type_code_cleanup_frac,0.03363316879327851,-0.15471765779864366,False,fraction of edits classified as code cleanup
6,code_success_rate,0.033093083461055176,0.1003032081377151,False,fraction of edits that produced runnable code
7,edit_type_harness_or_scope_change_frac,0.03277202453355411,-0.12221244131455405,False,fraction of harness/scope-change edits
8,mode_choice_ratio,0.03234374664324794,0.16029277516953572,True,agent's REFINE/REWRITE mode mix
9,rewrite_ratio,0.03211572737897834,-0.16029277516953583,True,fraction of edits that are full rewrites vs refinements
10,algorithm_refinement_revert_rate,0.027111164425079822,-0.14200247782994252,False,fraction of algorithm refinement edits that are later reverted
11,neg_opt_count,0.026605075024043898,0.1608796296296296,False,number of edits that worsen the current best score
12,edit_type_memory_optimization_frac,0.025579109860002763,0.08127934272300474,False,fraction of memory-optimization edits
13,edit_type_parameter_tuning_frac,0.023110660463248056,0.08988654147104858,False,fraction of edits that tune parameters
14,diversity_entropy_q2,0.023005972044101156,-0.16145018257694316,False,entropy of strategy distribution in trajectory quartile 2
15,neg_opt_rate,0.02136031998183953,0.1477569118414187,False,fraction of edits that worsen the current best score
16,diversity_entropy_q1,0.020559758686432228,-0.14632237871674492,False,entropy of strategy distribution in trajectory quartile 1
17,overall_revert_rate,0.020478490684176925,-0.13267801251956174,False,fraction of edits later reverted
18,diversity_entropy_q4,0.019965415382186786,-0.13928012519561817,False,entropy of strategy distribution in trajectory quartile 4
19,edit_type_search_space_change_frac,0.01823194403869563,0.07136802295253003,False,fraction of edits that change the search space
20,edit_type_data_structure_change_frac,0.017626817692134377,0.062141366718831526,False,fraction of edits that change data structures
