family,level,n_tasks,mean,std,median
"Math optimization",L0,3,0.429838,0.086432,0.384194
"Math optimization",L0f,3,0.501695,0.039272,0.510172
"Math optimization",L1,3,0.552556,0.026524,0.563380
"Math optimization",L2,3,0.515910,0.114202,0.554773
"GPU kernel",L0,6,0.504695,0.055532,0.517606
"GPU kernel",L0f,6,0.505347,0.039789,0.504695
"GPU kernel",L1,6,0.427426,0.078768,0.423318
"GPU kernel",L2,6,0.562533,0.056163,0.567879
"ADRS",L0,5,0.495540,0.025876,0.483959
"ADRS",L0f,5,0.534820,0.012593,0.529734
"ADRS",L1,5,0.490297,0.043616,0.489828
"ADRS",L2,5,0.479343,0.047215,0.456182
"FCS algorithmic",L0,10,0.466823,0.052122,0.457355
"FCS algorithmic",L0f,10,0.550782,0.073416,0.541275
"FCS algorithmic",L1,10,0.492332,0.040586,0.494131
"FCS algorithmic",L2,10,0.490063,0.065799,0.497653
