model,family,level,mean,std
claude-opus-4-6,"Math optimization",L0,0.361502,0.295613
claude-opus-4-6,"Math optimization",L0f,0.726135,0.068608
claude-opus-4-6,"Math optimization",L1,0.769953,0.092000
claude-opus-4-6,"Math optimization",L2,0.849765,0.079766
claude-opus-4-6,"GPU kernel",L0,0.656886,0.175332
claude-opus-4-6,"GPU kernel",L0f,0.607981,0.133645
claude-opus-4-6,"GPU kernel",L1,0.625978,0.119838
claude-opus-4-6,"GPU kernel",L2,0.778169,0.121868
claude-opus-4-6,"ADRS",L0,0.422535,0.112842
claude-opus-4-6,"ADRS",L0f,0.656808,0.152321
claude-opus-4-6,"ADRS",L1,0.587324,0.187361
claude-opus-4-6,"ADRS",L2,0.760094,0.058495
claude-opus-4-6,"FCS algorithmic",L0,0.383803,0.187442
claude-opus-4-6,"FCS algorithmic",L0f,0.500469,0.137125
claude-opus-4-6,"FCS algorithmic",L1,0.502347,0.187167
claude-opus-4-6,"FCS algorithmic",L2,0.649296,0.178203
deepseek-v3.2,"Math optimization",L0,0.314554,0.064486
deepseek-v3.2,"Math optimization",L0f,0.282473,0.031513
deepseek-v3.2,"Math optimization",L1,0.655712,0.157555
deepseek-v3.2,"Math optimization",L2,0.360720,0.196608
deepseek-v3.2,"GPU kernel",L0,0.414319,0.053662
deepseek-v3.2,"GPU kernel",L0f,0.449139,0.156408
deepseek-v3.2,"GPU kernel",L1,0.294210,0.055594
deepseek-v3.2,"GPU kernel",L2,0.408059,0.165702
deepseek-v3.2,"ADRS",L0,0.473709,0.170225
deepseek-v3.2,"ADRS",L0f,0.361502,0.170132
deepseek-v3.2,"ADRS",L1,0.180751,0.098524
deepseek-v3.2,"ADRS",L2,0.263850,0.120417
deepseek-v3.2,"FCS algorithmic",L0,0.396009,0.104475
deepseek-v3.2,"FCS algorithmic",L0f,0.492723,0.150042
deepseek-v3.2,"FCS algorithmic",L1,0.483333,0.117298
deepseek-v3.2,"FCS algorithmic",L2,0.440141,0.156223
gemini-3.1-pro-preview,"Math optimization",L0,0.752739,0.221217
gemini-3.1-pro-preview,"Math optimization",L0f,0.754304,0.188470
gemini-3.1-pro-preview,"Math optimization",L1,0.748044,0.276672
gemini-3.1-pro-preview,"Math optimization",L2,0.801252,0.192215
gemini-3.1-pro-preview,"GPU kernel",L0,0.675274,0.138303
gemini-3.1-pro-preview,"GPU kernel",L0f,0.720266,0.183891
gemini-3.1-pro-preview,"GPU kernel",L1,0.633803,0.325076
gemini-3.1-pro-preview,"GPU kernel",L2,0.750782,0.168842
gemini-3.1-pro-preview,"ADRS",L0,0.722535,0.202196
gemini-3.1-pro-preview,"ADRS",L0f,0.731455,0.256982
gemini-3.1-pro-preview,"ADRS",L1,0.615023,0.286962
gemini-3.1-pro-preview,"ADRS",L2,0.680751,0.211007
gemini-3.1-pro-preview,"FCS algorithmic",L0,0.857746,0.093474
gemini-3.1-pro-preview,"FCS algorithmic",L0f,0.911033,0.058351
gemini-3.1-pro-preview,"FCS algorithmic",L1,0.864554,0.070556
