alg_demand,repr_demand,level,n_tasks,mean,std,median
high,high,L0,4,0.481514,0.056736,0.504499
high,high,L0f,4,0.542254,0.020726,0.542449
high,high,L1,4,0.486405,0.020631,0.494523
high,high,L2,4,0.489828,0.058730,0.456182
high,low,L0,3,0.436489,0.025350,0.433099
high,low,L0f,3,0.611372,0.072433,0.585681
high,low,L1,3,0.527126,0.029035,0.532864
high,low,L2,3,0.425013,0.068799,0.447574
high,med,L0,2,0.457355,0.001956,0.457355
high,med,L0f,2,0.586659,0.042449,0.586659
high,med,L1,2,0.446792,0.033255,0.446792
high,med,L2,2,0.509194,0.011150,0.509194
low,low,L0,4,0.463615,0.075094,0.461268
low,low,L0f,4,0.532375,0.030135,0.530321
low,low,L1,4,0.411483,0.079920,0.412363
low,low,L2,4,0.592527,0.035282,0.582551
low,med,L0,4,0.476330,0.074652,0.497261
low,med,L0f,4,0.469581,0.027038,0.466941
low,med,L1,4,0.516725,0.035987,0.520540
low,med,L2,4,0.537363,0.064189,0.526995
med,high,L0,2,0.499609,0.028560,0.499609
med,high,L0f,2,0.529734,0.011737,0.529734
med,high,L1,2,0.514867,0.045383,0.514867
med,high,L2,2,0.455790,0.005086,0.455790
med,low,L0,3,0.520083,0.038679,0.527387
med,low,L0f,3,0.493740,0.033879,0.503130
med,low,L1,3,0.443532,0.048818,0.427230
med,low,L2,3,0.542645,0.024196,0.539906
med,med,L0,2,0.497066,0.053795,0.497066
med,med,L0f,2,0.497066,0.013106,0.497066
med,med,L1,2,0.551643,0.026604,0.551643
med,med,L2,2,0.454225,0.093505,0.454225
